Pair,Date,Open,High,Low,Close
GBPUSD,12/5/2013 6:00,1.63782,1.63905,1.6377,1.63824
GBPUSD,12/5/2013 7:00,1.63828,1.63972,1.63786,1.63888
GBPUSD,12/5/2013 8:00,1.63891,1.64034,1.63884,1.63978
GBPUSD,12/5/2013 9:00,1.63978,1.64023,1.63812,1.63848
GBPUSD,12/5/2013 10:00,1.63847,1.6386,1.63429,1.63512
GBPUSD,12/5/2013 11:00,1.63507,1.63582,1.63372,1.63521
GBPUSD,12/5/2013 12:00,1.63521,1.63638,1.63348,1.63352
GBPUSD,12/5/2013 13:00,1.63348,1.63563,1.63268,1.63353
GBPUSD,12/5/2013 14:00,1.63357,1.63549,1.631,1.63529
GBPUSD,12/5/2013 15:00,1.63527,1.63564,1.63176,1.63279
GBPUSD,12/5/2013 16:00,1.63264,1.63392,1.63066,1.6321
GBPUSD,12/5/2013 17:00,1.63207,1.63311,1.63001,1.63268
GBPUSD,12/5/2013 18:00,1.63267,1.63303,1.63181,1.63287
GBPUSD,12/5/2013 19:00,1.633,1.6338,1.63225,1.63257
GBPUSD,12/5/2013 20:00,1.63253,1.63422,1.6323,1.63397
GBPUSD,12/5/2013 21:00,1.63407,1.63407,1.63265,1.63367
GBPUSD,12/5/2013 22:00,1.63363,1.63384,1.63295,1.6335
GBPUSD,12/5/2013 23:00,1.63351,1.63418,1.6331,1.63392
GBPUSD,12/6/2013 0:00,1.63392,1.63398,1.63297,1.63302
GBPUSD,12/6/2013 1:00,1.63302,1.63384,1.63286,1.63359
GBPUSD,12/6/2013 2:00,1.63357,1.63384,1.63317,1.63377
GBPUSD,12/6/2013 3:00,1.63377,1.6338,1.63308,1.63337
GBPUSD,12/6/2013 4:00,1.63335,1.63349,1.63289,1.63311
GBPUSD,12/6/2013 5:00,1.63311,1.63332,1.63276,1.63298
GBPUSD,12/6/2013 6:00,1.63297,1.63298,1.63185,1.63226
GBPUSD,12/6/2013 7:00,1.63225,1.6327,1.63182,1.632
GBPUSD,12/6/2013 8:00,1.63203,1.6336,1.63184,1.63342
GBPUSD,12/6/2013 9:00,1.63344,1.63478,1.63329,1.63398
GBPUSD,12/6/2013 10:00,1.63396,1.63641,1.63377,1.63561
GBPUSD,12/6/2013 11:00,1.63563,1.63702,1.63537,1.636
GBPUSD,12/6/2013 12:00,1.63606,1.63668,1.63533,1.6358
GBPUSD,12/6/2013 13:00,1.63578,1.63636,1.63452,1.63553
GBPUSD,12/6/2013 14:00,1.63551,1.63577,1.62916,1.63386
GBPUSD,12/6/2013 15:00,1.63393,1.63931,1.6337,1.63563
GBPUSD,12/6/2013 16:00,1.6356,1.63844,1.63504,1.63535
GBPUSD,12/6/2013 17:00,1.6353,1.6362,1.63228,1.63263
GBPUSD,12/6/2013 18:00,1.63263,1.63412,1.6318,1.6341
GBPUSD,12/6/2013 19:00,1.63405,1.63429,1.63285,1.63396
GBPUSD,12/6/2013 20:00,1.63398,1.63461,1.63377,1.63434
GBPUSD,12/6/2013 21:00,1.63434,1.63477,1.63386,1.6342
GBPUSD,12/6/2013 22:00,1.63422,1.63489,1.63389,1.63454
GBPUSD,12/9/2013 0:00,1.6346,1.63469,1.63259,1.63265
GBPUSD,12/9/2013 1:00,1.63264,1.63321,1.63232,1.6331
GBPUSD,12/9/2013 2:00,1.63308,1.63397,1.63286,1.63373
GBPUSD,12/9/2013 3:00,1.63373,1.6345,1.63355,1.63444
GBPUSD,12/9/2013 4:00,1.63445,1.63458,1.63376,1.63399
GBPUSD,12/9/2013 5:00,1.63397,1.63488,1.63376,1.63474
GBPUSD,12/9/2013 6:00,1.63477,1.63508,1.63422,1.63491
GBPUSD,12/9/2013 7:00,1.63489,1.63529,1.63455,1.63517
GBPUSD,12/9/2013 8:00,1.63518,1.63659,1.63515,1.6359
GBPUSD,12/9/2013 9:00,1.63589,1.63728,1.63525,1.63638
GBPUSD,12/9/2013 10:00,1.63636,1.63923,1.63635,1.63743
GBPUSD,12/9/2013 11:00,1.63741,1.63911,1.63736,1.63868
GBPUSD,12/9/2013 12:00,1.63869,1.63905,1.63756,1.638
GBPUSD,12/9/2013 13:00,1.638,1.63855,1.63753,1.63814
GBPUSD,12/9/2013 14:00,1.63811,1.63841,1.63735,1.6376
GBPUSD,12/9/2013 15:00,1.63758,1.63831,1.63697,1.63822
GBPUSD,12/9/2013 16:00,1.63824,1.63951,1.63794,1.63857
GBPUSD,12/9/2013 17:00,1.63859,1.64029,1.63767,1.64025
GBPUSD,12/9/2013 18:00,1.64022,1.64139,1.64015,1.64062
GBPUSD,12/9/2013 19:00,1.64057,1.64285,1.64053,1.64281
GBPUSD,12/9/2013 20:00,1.6428,1.64291,1.64196,1.64282
GBPUSD,12/9/2013 21:00,1.64287,1.64322,1.64245,1.64269
GBPUSD,12/9/2013 22:00,1.64267,1.64287,1.64216,1.6428
GBPUSD,12/9/2013 23:00,1.64286,1.64286,1.642,1.64223
GBPUSD,12/10/2013 0:00,1.64218,1.64265,1.64211,1.64223
GBPUSD,12/10/2013 1:00,1.64222,1.64273,1.64185,1.64225
GBPUSD,12/10/2013 2:00,1.64226,1.64279,1.64204,1.64275
GBPUSD,12/10/2013 3:00,1.64274,1.64652,1.64265,1.64499
