Date,Pair,Open,High,Low,Close
6/26/2006 0:00,GBPUSD,1.8188,1.825,1.8161,1.8232
6/27/2006 0:00,GBPUSD,1.8235,1.8266,1.8185,1.8211
6/28/2006 0:00,GBPUSD,1.8209,1.8243,1.8141,1.8183
6/29/2006 0:00,GBPUSD,1.8183,1.83,1.8089,1.8274
6/30/2006 0:00,GBPUSD,1.8276,1.8503,1.8272,1.8498
7/3/2006 0:00,GBPUSD,1.8476,1.8491,1.8384,1.842
7/4/2006 0:00,GBPUSD,1.8415,1.8482,1.8414,1.8441
7/5/2006 0:00,GBPUSD,1.8442,1.8489,1.8326,1.8344
7/6/2006 0:00,GBPUSD,1.8344,1.8411,1.8333,1.8376
7/7/2006 0:00,GBPUSD,1.8376,1.8542,1.8355,1.8509
7/10/2006 0:00,GBPUSD,1.8502,1.8523,1.8367,1.8423
7/11/2006 0:00,GBPUSD,1.8422,1.8475,1.8366,1.8446
7/12/2006 0:00,GBPUSD,1.8446,1.8483,1.8309,1.834
7/13/2006 0:00,GBPUSD,1.8341,1.847,1.833,1.8436
7/14/2006 0:00,GBPUSD,1.8437,1.8453,1.8339,1.8387
7/17/2006 0:00,GBPUSD,1.8378,1.839,1.8176,1.8198
7/18/2006 0:00,GBPUSD,1.8197,1.833,1.8182,1.8265
7/19/2006 0:00,GBPUSD,1.8264,1.8443,1.8229,1.8422
7/20/2006 0:00,GBPUSD,1.8423,1.8521,1.8415,1.8484
7/21/2006 0:00,GBPUSD,1.8486,1.8601,1.8467,1.8584
7/24/2006 0:00,GBPUSD,1.8593,1.8599,1.8481,1.8513
7/25/2006 0:00,GBPUSD,1.8512,1.854,1.8384,1.8401
7/26/2006 0:00,GBPUSD,1.8405,1.8553,1.839,1.8543
7/27/2006 0:00,GBPUSD,1.8542,1.8678,1.8527,1.8581
7/28/2006 0:00,GBPUSD,1.8582,1.8668,1.8543,1.8632
7/31/2006 0:00,GBPUSD,1.8627,1.8692,1.8617,1.8679
8/1/2006 0:00,GBPUSD,1.8679,1.8768,1.8626,1.8762
8/2/2006 0:00,GBPUSD,1.8761,1.8799,1.8731,1.8771
8/3/2006 0:00,GBPUSD,1.8772,1.8917,1.8697,1.8879
8/4/2006 0:00,GBPUSD,1.888,1.9131,1.8852,1.9076
8/7/2006 0:00,GBPUSD,1.9074,1.9117,1.9037,1.9041
8/8/2006 0:00,GBPUSD,1.9042,1.9146,1.9033,1.9066
8/9/2006 0:00,GBPUSD,1.9063,1.9113,1.8972,1.9049
8/10/2006 0:00,GBPUSD,1.9049,1.9092,1.8867,1.8939
8/11/2006 0:00,GBPUSD,1.8937,1.8992,1.8886,1.8902
8/14/2006 0:00,GBPUSD,1.8897,1.8954,1.8841,1.8889
8/15/2006 0:00,GBPUSD,1.8889,1.8981,1.8854,1.8938
8/16/2006 0:00,GBPUSD,1.8938,1.9026,1.8879,1.8966
8/17/2006 0:00,GBPUSD,1.8966,1.9011,1.882,1.8859
8/18/2006 0:00,GBPUSD,1.8854,1.8871,1.8775,1.8815
8/21/2006 0:00,GBPUSD,1.8814,1.8999,1.8809,1.8926
8/22/2006 0:00,GBPUSD,1.8925,1.8953,1.8855,1.8879
8/23/2006 0:00,GBPUSD,1.888,1.9001,1.8862,1.893
8/24/2006 0:00,GBPUSD,1.893,1.8976,1.8858,1.8877
8/25/2006 0:00,GBPUSD,1.8875,1.8919,1.8829,1.887
8/28/2006 0:00,GBPUSD,1.8874,1.8994,1.8862,1.8937
8/29/2006 0:00,GBPUSD,1.8938,1.9031,1.8897,1.8994
8/30/2006 0:00,GBPUSD,1.8999,1.9063,1.8972,1.9037
8/31/2006 0:00,GBPUSD,1.9042,1.9094,1.8994,1.9041
9/1/2006 0:00,GBPUSD,1.9039,1.9071,1.8956,1.9045
9/4/2006 0:00,GBPUSD,1.9065,1.9084,1.9029,1.906
9/5/2006 0:00,GBPUSD,1.9058,1.9061,1.8912,1.8938
9/6/2006 0:00,GBPUSD,1.8937,1.8959,1.879,1.8854
9/7/2006 0:00,GBPUSD,1.8853,1.8873,1.8707,1.876
9/8/2006 0:00,GBPUSD,1.8761,1.8764,1.8628,1.8654
9/11/2006 0:00,GBPUSD,1.8653,1.8709,1.8601,1.8648
9/12/2006 0:00,GBPUSD,1.8647,1.8776,1.863,1.8739
9/13/2006 0:00,GBPUSD,1.8738,1.878,1.871,1.8774
9/14/2006 0:00,GBPUSD,1.8776,1.8921,1.8756,1.8865
9/15/2006 0:00,GBPUSD,1.8864,1.8884,1.8753,1.879
9/18/2006 0:00,GBPUSD,1.878,1.8843,1.8735,1.8808
9/19/2006 0:00,GBPUSD,1.8811,1.8885,1.8772,1.8813
9/20/2006 0:00,GBPUSD,1.8814,1.8928,1.8801,1.887
9/21/2006 0:00,GBPUSD,1.8869,1.9031,1.8862,1.9023
9/22/2006 0:00,GBPUSD,1.9019,1.9062,1.8993,1.9001
9/25/2006 0:00,GBPUSD,1.9008,1.9072,1.8981,1.9
9/26/2006 0:00,GBPUSD,1.9002,1.9027,1.893,1.8942
9/27/2006 0:00,GBPUSD,1.8944,1.8961,1.8852,1.8887
9/28/2006 0:00,GBPUSD,1.8888,1.8916,1.8722,1.8757
9/29/2006 0:00,GBPUSD,1.8758,1.8781,1.8631,1.8722
10/2/2006 0:00,GBPUSD,1.8747,1.8875,1.8676,1.8864
10/3/2006 0:00,GBPUSD,1.8865,1.89,1.8855,1.8876
